Title,Start,End,Day of week,Duration
john doe,11/18/17 0:00,11/19/17 0:00,Sat,24:00:00
john doe,11/19/17 0:00,11/20/17 0:00,Sun,24:00:00
john doe,11/21/17 0:00,11/22/17 0:00,Tue,24:00:00
john doe,11/23/17 0:00,11/24/17 0:00,Thu,24:00:00
john doe,11/23/17 0:00,11/24/17 0:00,Thu,24:00:00
john doe,11/24/17 0:00,11/25/17 0:00,Fri,24:00:00
john doe,11/27/17 0:00,11/28/17 0:00,Mon,24:00:00
john doe,11/28/17 0:00,11/29/17 0:00,Tue,24:00:00
john doe,11/28/17 0:00,11/29/17 0:00,Tue,24:00:00
john doe,11/29/17 0:00,11/30/17 0:00,Wed,24:00:00
john doe,11/30/17 0:00,12/1/17 0:00,Thu,24:00:00
john doe,12/1/17 0:00,12/2/17 0:00,Fri,24:00:00
john doe,12/3/17 0:00,12/4/17 0:00,Sun,24:00:00
john doe,12/6/17 0:00,12/7/17 0:00,Wed,24:00:00
john doe,12/6/17 0:00,12/7/17 0:00,Wed,24:00:00
john doe,12/7/17 0:00,12/8/17 0:00,Thu,24:00:00
john doe,12/8/17 0:00,12/9/17 0:00,Fri,24:00:00
john doe,12/8/17 0:00,12/9/17 0:00,Fri,24:00:00
john doe,12/12/17 0:00,12/13/17 0:00,Tue,24:00:00
john doe,12/12/17 0:00,12/13/17 0:00,Tue,24:00:00
john doe,12/12/17 0:00,12/13/17 0:00,Tue,24:00:00
john doe,12/12/17 0:00,12/13/17 0:00,Tue,24:00:00
john doe,12/14/17 0:00,12/15/17 0:00,Thu,24:00:00
john doe,12/15/17 0:00,12/16/17 0:00,Fri,24:00:00
john doe,12/16/17 0:00,12/17/17 0:00,Sat,24:00:00
john doe,12/17/17 0:00,12/18/17 0:00,Sun,24:00:00
john doe,12/17/17 0:00,12/18/17 0:00,Sun,24:00:00
john doe,12/18/17 0:00,12/19/17 0:00,Mon,24:00:00
john doe,12/19/17 0:00,12/20/17 0:00,Tue,24:00:00
john doe,12/20/17 0:00,12/21/17 0:00,Wed,24:00:00
john doe,12/20/17 0:00,12/21/17 0:00,Wed,24:00:00
john doe,12/20/17 0:00,12/21/17 0:00,Wed,24:00:00
john doe,12/22/17 0:00,12/23/17 0:00,Fri,24:00:00
john doe,12/24/17 0:00,12/25/17 0:00,Sun,24:00:00
john doe,12/24/17 0:00,12/25/17 0:00,Sun,24:00:00
john doe,12/24/17 0:00,12/25/17 0:00,Sun,24:00:00
john doe,12/24/17 0:00,12/25/17 0:00,Sun,24:00:00
john doe,12/25/17 0:00,12/26/17 0:00,Mon,24:00:00
john doe,12/25/17 0:00,12/26/17 0:00,Mon,24:00:00
john doe,12/25/17 0:00,12/26/17 0:00,Mon,24:00:00
john doe,12/25/17 0:00,12/26/17 0:00,Mon,24:00:00
john doe,12/26/17 0:00,12/27/17 0:00,Tue,24:00:00
john doe,12/27/17 0:00,12/28/17 0:00,Wed,24:00:00
john doe,12/29/17 0:00,12/30/17 0:00,Fri,24:00:00
john doe,12/30/17 0:00,12/31/17 0:00,Sat,24:00:00
john doe,12/31/17 0:00,1/1/18 0:00,Sun,24:00:00
